stop_reason,stops,success,yield,contraband_discoveries
24008.5(A) VC - VEH EXCEED FRAME HEIGHTS (M) 66966,6,0,0.0,0
21760(D) VC - PASS BIKE UNSAFE SPEED (I) 54642,6,0,0.0,0
374.7(A) PC - LITTER WATERS OR SHORE (M) 55119,6,0,0.0,0
26454(A) VC - BRAKE CNTRL/STOP VIOL (I) 66533,6,0,0.0,0
27156(A) VC - OPR/ETC GROSS POLLUTER (I) 54410,6,0,0.0,0
21260(A) VC - ILL OPR LOW SPEED VEHICLE (I) 54967,6,0,0.0,0
602(D) PC - TRESPASS:SOIL REMOVAL (M) 32026 | 602(D) PC - TRESPASS:SOIL REMOVAL (M) 32026,6,0,0.0,0
29805(A)(1) PC - POSS F/ARM W/SPEC MISD-10 (F) 52842,6,0,0.0,0
27153(B) VC - EXCESSIVE EXHAUST VIOL (I) 66580,6,0,0.0,0
26100(D) PC - DISCHARGE F/A FROM VEH (M) 52492,6,0,0.0,0
32210 EC - WILFULY DISTURB SCH ZONE (M) 33052,6,0,0.0,0
22507.8(C) VC - UNLAW PARK/LEAVE VEH (I) 66315,6,0,0.0,0
186.22(A) PC - PARTICIPATE:CRIM ST GANG (F) 66062,6,0,0.0,0
29805(A)(1) PC - POSS F/ARM W/SPEC MISD-10 (F) 52842 | 29805(A)(1) PC - POSS F/ARM W/SPEC MISD-10 (F) 52842,6,0,0.0,0
21712(A) VC - ALLOW UNLAWF RIDE/ETC:VEH (I) 54434,6,0,0.0,0
241(A) PC - ASSAULT ON PERSON (M) 13086,6,0,0.0,0
21963 VC - FAIL YIELD:BLIND PEDESTRN (M) 54121,6,0,0.0,0
24600(F) VC - TAILLMP VIOL LOC AFT 1969 (I) 66428,6,0,0.0,0
243.25 PC - BATT:ELDER/DEP ADULT (M) 13203,6,0,0.0,0
7145 FG - FAIL POS/ETC LIC:FISH/ETC (I) 62064,6,0,0.0,0
602.8(A) PC - TRESPASS FENCED/PSTD LAND (I) 32136 | 602.8(A) PC - TRESPASS FENCED/PSTD LAND (I) 32136,6,0,0.0,0
23114(A) VC - IMPROP VEH:SPILL/ETC:HWY (M) 55206,6,0,0.0,0
238.1 LC - FAIL OBEY STOP ORDER VIOL (M) 31293,6,0,0.0,0
40508(C) VC - FAIL COMPLY COURT ORD (M) 54236,6,0,0.0,0
634 PC - INVADE PRIVACY:TRESPASS (M) 57055 | 634 PC - INVADE PRIVACY:TRESPASS (M) 57055,6,0,0.0,0
640(B)(3) PC - SMOKING PROHIBITED AREA (I) 66205 | 640(B)(3) PC - SMOKING PROHIBITED AREA (I) 66205,6,0,0.0,0
21451(B) VC - GRN ARROW VIO:U-TRN/YLD/E (I) 54447,6,0,0.0,0
148.2(3) PC - DISORD CONDUCT AT FIRE (M) 48156,6,0,0.0,0
655(A) HN - RECK/NEG WATERCRAFT USE (I) 54151,6,0,0.0,0
243.4(A) PC - SEXUAL BATT BY RESTRAINT (F) 11109,6,0,0.0,0
594.1(D) PC - POSS SPRAY PAINT:POSTED (M) 29100,6,0,0.0,0
00IN CUSTODY ARR ZZ - IN CUSTODY ARREST (X) 3 | 00IN CUSTODY ARR ZZ - IN CUSTODY ARREST (X) 3 | 00IN CUSTODY ARR ZZ - IN CUSTODY ARREST (X) 3,5,4,0.8,0
25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063 | 25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063 | 25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063,5,4,0.8,3
11379 HS - TRANSP/ETC CNTL SUB (F) 35139 | 11379 HS - TRANSP/ETC CNTL SUB (F) 35139,5,4,0.8,4
246.3(A) PC - WIL DISCH F/ARM W/GRS NEG (F) 52387 | 246.3(A) PC - WIL DISCH F/ARM W/GRS NEG (F) 52387,5,3,0.6,3
12677 HS - POSS FIREWORKS W/O PERMIT (M) 52100,5,3,0.6,3
3081 PC - PAROLE VIOLATION/REARREST (X) 50138,5,3,0.6,2
11362.4(A) HS - SMOKE/ING MARIJ PUBLIC PL (I) 35438 | 11362.4(A) HS - SMOKE/ING MARIJ PUBLIC PL (I) 35438,5,2,0.4,2
207(A) PC - KIDNAPPING (F) 10016 | 207(A) PC - KIDNAPPING (F) 10016 | 207(A) PC - KIDNAPPING (F) 10016,5,2,0.4,2
11370.1(A) HS - POSS CNTL SUB WHILE ARMED (F) 35324,5,2,0.4,2
23152(B) VC - DUI ALCOHOL/0.08 PERCENT (M) 42088 | 23152(B) VC - DUI ALCOHOL/0.08 PERCENT (M) 42088,5,2,0.4,1
11357(B) HS - POSS MARIJ OVER 28.5 GRAM (I) 35430,5,1,0.2,1
530.5(E) PC - COMMIT MAIL THEFT (M) 44066,5,1,0.2,1
498(B)(4) PC - THFT UTIL SRVS W/O CNSNT (M) 23251,5,1,0.2,1
21228(A) VC - FL OPR MTR SCTR RT CURB (I) 66940,5,1,0.2,1
21201(B) VC - BIKE HANDLEBAR ABV SHLDS (I) 54415,5,1,0.2,1
11155 HS - ILLEGAL CNTL SUB PRESCRIP (F) 35104,5,1,0.2,1
246.3(A) PC - WIL DISCH F/ARM W/GRS NEG (M) 52388,5,1,0.2,1
602(B) PC - TRESPASS:REMOVE TIMBER (M) 32024 | 602(B) PC - TRESPASS:REMOVE TIMBER (M) 32024,5,1,0.2,1
38505 VC - NO HELMET:ALL TERRAIN VEH (I) 54304,5,1,0.2,0
211 PC - ROBBERY:FIRST DEGREE (F) 12017 | 211 PC - ROBBERY:FIRST DEGREE (F) 12017,5,1,0.2,1
503 PC - EMBEZZLEMENT $950+ (F) 27067,5,1,0.2,1
24953(D) VC - TURN SIGNAL LAMP VIOL (I) 66451,5,1,0.2,1
211 PC - ROBBERY:SECOND DEGREE (F) 12018,5,1,0.2,1
11360(A) HS - SELL/TRNSP/ETC MARIJUANA (I) 35446,5,1,0.2,1
481.1(B) PC - POSS/CNTRFT PUB TRAN FARE (M) 25060,5,1,0.2,1
10851(A) VC - VEHICLE THEFT (F) 24054 | 10851(A) VC - VEHICLE THEFT (F) 24054 | 10851(A) VC - VEHICLE THEFT (F) 24054 | 10851(A) VC - VEHICLE THEFT (F) 24054,5,1,0.2,1
290.018(B) PC - FAIL REG W/FEL SEX OFF/PR (F) 36239,5,1,0.2,1
368(B)(1) PC - CAUSE INJ ELDER/DEP ADULT (M) 55322 | 368(B)(1) PC - CAUSE INJ ELDER/DEP ADULT (M) 55322,5,0,0.0,0
36 2.34(A)(4) US - FR:CREATE HAZARDOUS COND (M) 53140,5,0,0.0,0
597(B) PC - CRUELTY OVERDRIVE ANIMAL (F) 34131,5,0,0.0,0
246 PC - SHOOT:INHAB DWELL/VEH/ETC (M) 13193,5,0,0.0,0
401(A) PC - AID/ADVISE/ETC SUICIDE (F) 55325 | 401(A) PC - AID/ADVISE/ETC SUICIDE (F) 55325,5,0,0.0,0
647(I) PC - PEEK INHAB BLDG W/LOITRNG (M) 57086 | 647(I) PC - PEEK INHAB BLDG W/LOITRNG (M) 57086,5,0,0.0,0
69(A) PC - OBSTRUCT/RESIST EXEC OFCR (M) 48160,5,0,0.0,0
11361(A) HS - SELL MARIJUANA TO MINOR (F) 35167,5,0,0.0,0
30305(A)(1) PC - PROHIB OWN/ETC AMMO/ETC (F) 52504 | 30305(A)(1) PC - PROHIB OWN/ETC AMMO/ETC (F) 52504,5,0,0.0,0
5 100007 CA - CA REG:VIOLATE CURFEW (M) 66164 | 5 100007 CA - CA REG:VIOLATE CURFEW (M) 66164,5,0,0.0,0
23116(A) VC - CARRY PERSON:BACK:TRUCK (I) 54188,5,0,0.0,0
11173(C) HS - REP AS DR/ETC:GET C/SUB (F) 35150 | 11173(C) HS - REP AS DR/ETC:GET C/SUB (F) 35150,5,0,0.0,0
415.5(A)(2) PC - LOUD/UNREAS NOISE UNV/ETC (M) 33029 | 415.5(A)(2) PC - LOUD/UNREAS NOISE UNV/ETC (M) 33029,5,0,0.0,0
22810(G)(1) PC - ILUSE TEARGAS/TEARGAS WPN (F) 52614,5,0,0.0,0
4576(A) PC - POSS PHONE INT/DLVR INMAT (M) 50211,5,0,0.0,0
415.5(A)(1) PC - FIGHT/ETC AT SCH/UNIV/ETC (M) 33028 | 415.5(A)(1) PC - FIGHT/ETC AT SCH/UNIV/ETC (M) 33028,5,0,0.0,0
21656 VC - DRV BLW NRMAL SPD 5+BHND (I) 54664,5,0,0.0,0
21950(C) VC - DRVR YIELD RIGHT WY X-WLK (I) 66283,5,0,0.0,0
24606 VC - BACKUP LAMPS VIOLATION (I) 54307,5,0,0.0,0
23103(A) VC - RECKLESS DRIVING:HIGHWAY (M) 54086 | 23103(A) VC - RECKLESS DRIVING:HIGHWAY (M) 54086,5,0,0.0,0
487(C) PC - GRAND THEFT FROM PERSON (M) 23165,5,0,0.0,0
21655.8(B) VC - FL EXIT PREF LN EMERG VEH (I) 54996,5,0,0.0,0
455(A) PC - ATTEMPT/AID/ETC IN ARSON (F) 20067,5,0,0.0,0
11418.5(A) PC - THREAT/ETC W/WPN MAS DEST (M) 16022,5,0,0.0,0
602(P) PC - TRESPASS:CLOSED LANDS (M) 32105 | 602(P) PC - TRESPASS:CLOSED LANDS (M) 32105,5,0,0.0,0
27174.2 SH - CLIMB/TRESPASS BRIDGE/ETC (M) 32065,5,0,0.0,0
24002(D) VC - OPR VEH W/O SECURE CARGO (I) 66377,5,0,0.0,0
243(C)(1) PC - BATTERY PO/ETC W/INJURY (M) 13241,5,0,0.0,0
647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111 | 647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111 | 647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111,5,0,0.0,0
594(A)(1) PC - VANDALISM:DEFACE PROPERTY (M) 29110 | 594(A)(1) PC - VANDALISM:DEFACE PROPERTY (M) 29110 | 594(A)(1) PC - VANDALISM:DEFACE PROPERTY (M) 29110,5,0,0.0,0
25612.5(C)(1) BP - FAIL TO POST:NO LOITERING (M) 41069 | 25612.5(C)(1) BP - FAIL TO POST:NO LOITERING (M) 41069,5,0,0.0,0
242 PC - BAT AGAINST PEACE OFFICER (F) 13184 | 242 PC - BAT AGAINST PEACE OFFICER (F) 13184,5,0,0.0,0
5109 VC - TRANSF ENVIRONMENTAL PLT (I) 54787,5,0,0.0,0
27360(B) VC - UNRESTRAINED TOT IN VEH (I) 54198,5,0,0.0,0
21751 VC - PASS W/O ENOUGH CLEARANCE (I) 54389,5,0,0.0,0
27803(C) VC - MTRCYCL PASSENG HLMT VIOL (I) 66648,5,0,0.0,0
27150.3(B) VC - OPR EXHAUST WHISTLETIP (I) 66578,5,0,0.0,0
21957 VC - HITCHHIKE IN ROADWAY (I) 54318,5,0,0.0,0
597(A) PC - INT CRUELTY TO ANML/KILL (F) 34129 | 597(A) PC - INT CRUELTY TO ANML/KILL (F) 34129,5,0,0.0,0
314(2) PC - ASSIST INDECENT EXPOSURE (M) 36344,5,0,0.0,0
25279(B)(2) VC - AMBER LIGHTS NOT AUTH (I) 66483,5,0,0.0,0
36 2.13(A)(1) US - FR:FIRE UNDESIGNATED AREA (M) 62155,5,0,0.0,0
26100(A) VC - SELL/USE UNAP LIGHT EQUIP (I) 66974,5,0,0.0,0
24403(A) VC - FOG LAMPS VIOL (I) 66969,5,0,0.0,0
22500(D) VC - PARKING VIOL 15 FT FR STN (I) 66304,5,0,0.0,0
5201(F) VC - OBSTRUCT OF LIC PLATE (I) 54528,5,0,0.0,0
594(B)(2)(A) PC - VANDALISM -$400 (M) 29144 | 594(B)(2)(A) PC - VANDALISM -$400 (M) 29144 | 594(B)(2)(A) PC - VANDALISM -$400 (M) 29144,4,4,1.0,4
308(A)(1)(A)(I) PC - FURNISH -21 YRS W/TOBACCO (M) 31300,4,3,0.75,3
496D(A) PC - POSS STOLEN VEH/VES/ETC (M) 28036 | 496D(A) PC - POSS STOLEN VEH/VES/ETC (M) 28036,4,2,0.5,2
311.11(A) PC - POSS/ETC OBS MTR:MNR:SEX (F) 37087,4,2,0.5,2
11357(A) HS - POSS MARIJUANA 28.5- GRMS (I) 35429 | 11357(A) HS - POSS MARIJUANA 28.5- GRMS (I) 35429,4,2,0.5,2
25650 VC - MOTORCYC H/LAMP:1REQ/2PRM (I) 54605,4,2,0.5,0
498(B)(1) PC - THEFT UTIL SRVS DIVERTS (M) 23253 | 498(B)(1) PC - THEFT UTIL SRVS DIVERTS (M) 23253,4,2,0.5,2
245(B) PC - ASLT PRSN:SEMIAUTO F/ARM (F) 13163,4,2,0.5,2
21310 PC - CARRY CON/DIRK OR DAGGER (F) 52564 | 21310 PC - CARRY CON/DIRK OR DAGGER (F) 52564,4,1,0.25,1
459 PC - BURGLARY:SECOND DEGREE (F) 22022 | 459 PC - BURGLARY:SECOND DEGREE (F) 22022,4,1,0.25,1
4501(A) PC - ASSLT DEADLY WPN BY PRSNR (F) 13242,4,1,0.25,1
18 3401(D) US - VIOLATE PROBATION:MISD (X) 50136,4,1,0.25,1
459 PC - BURGLARY:SECOND DEGREE (M) 22133 | 459 PC - BURGLARY:SECOND DEGREE (M) 22133,4,1,0.25,1
626.9(I) PC - POSS/ETC FIREARM:UNIV/ETC (F) 33049,4,1,0.25,0
220(A)(2) PC - ASSLT W/INT TO RAPE -18 (F) 11129 | 220(A)(2) PC - ASSLT W/INT TO RAPE -18 (F) 11129,4,1,0.25,1
187(A) PC - MURDER (F) 9005 | 187(A) PC - MURDER (F) 9005,4,1,0.25,1
10 886 US - AWOL:ABSENT PLACE OF DUTY (X) 2053,4,1,0.25,0
597(A) PC - INT CRUELTY TO ANML/KILL (M) 34136 | 597(A) PC - INT CRUELTY TO ANML/KILL (M) 34136 | 597(A) PC - INT CRUELTY TO ANML/KILL (M) 34136,4,1,0.25,0
27314.5(A)(1) VC - SEATBLT LFT DOOR WRN VIOL (I) 66602,4,1,0.25,1
12500(A) VC - DRIVE W/O LICENSE (I) 42127 | 12500(A) VC - DRIVE W/O LICENSE (I) 42127,4,1,0.25,1
23152(F) VC - DUI ANY DRUG W/PR (F) 66362,4,1,0.25,1
27606(A) VC - OPR VEH LT BAR RESMBL LAW (I) 66645,4,1,0.25,1
11357(C) HS - POSS MARIJUANA SCHL GRNDS (M) 35432,4,1,0.25,1
11359(A) HS - POSS MARIJ SALE UNDER 18 (I) 35450,4,1,0.25,1
24008 VC - MODIFIED VEH RIM HGT VIOL (I) 54331,4,1,0.25,1
25200(A) PC - F/A ACCES BY CHLD:PREMISE (M) 52645,4,1,0.25,1
245(A)(1) PC - ADW NOT FIREARM (F) 13219 | 245(A)(1) PC - ADW NOT FIREARM (F) 13219 | 245(A)(1) PC - ADW NOT FIREARM (F) 13219 | 245(A)(1) PC - ADW NOT FIREARM (F) 13219,4,1,0.25,1
415(3) PC - OFFENSIVE WORDS:PUBLIC PL (M) 53074 | 415(3) PC - OFFENSIVE WORDS:PUBLIC PL (M) 53074,4,1,0.25,1
1209 CP - CONTEMPT OF COURT (M) 50080,4,1,0.25,1
11370.2(A) HS - PR C/S CONV:11351-11352HS (X) 35410,4,0,0.0,0
166(A)(3) PC - CONTEMPT:BREACH OF PEACE (M) 50105,4,0,0.0,0
417.6(A) PC - EXH F/ARM/DLY WPN W/SBI (F) 52171,4,0,0.0,0
452(C) PC - CAUSE FIRE:STRUCTR/FOREST (M) 20043,4,0,0.0,0
487(B)(1)(A) PC - GRND THEFT:FOWL/FRUIT/ETC (F) 23135,4,0,0.0,0
369G(A) PC - DRIVE/RIDE/ETC RR TRACK (M) 32076,4,0,0.0,0
148(A)(1) PC - OBSTRUCT/ETC PUB OFCR/ETC (M) 48122 | 148(A)(1) PC - OBSTRUCT/ETC PUB OFCR/ETC (M) 48122 | 148(A)(1) PC - OBSTRUCT/ETC PUB OFCR/ETC (M) 48122,4,0,0.0,0
646.9(B) PC - STALKNG:TEMP RESTRAIN ORD (F) 16006,4,0,0.0,0
21211(A) VC - ILL IMPD BCYCL LN ST/STND (I) 54948,4,0,0.0,0
242 PC - BATT W/SERIOUS BODILY INJ (F) 13161,4,0,0.0,0
25279(D) VC - UNAUTH INSTALL AMB LIGHTS (I) 66484,4,0,0.0,0
653M(A) PC - ANNOYING PHONE CALLS (M) 53078,4,0,0.0,0
247.5 PC - DISCH LASER:OCC AIRCRAFT (M) 13189,4,0,0.0,0
602(I) PC - TRESPASS:DESTROY FENCE (M) 32093 | 602(I) PC - TRESPASS:DESTROY FENCE (M) 32093,4,0,0.0,0
647(F) PC - DISRD CONDUCT:DRUG W/ALC (M) 64006 | 647(F) PC - DISRD CONDUCT:DRUG W/ALC (M) 64006 | 647(F) PC - DISRD CONDUCT:DRUG W/ALC (M) 64006,4,0,0.0,0
25351 BP - POSS ALC BEV:CAN BE SEIZD (M) 41058,4,0,0.0,0
314.1 PC - INDECENT EXPOSURE (F) 36279 | 314.1 PC - INDECENT EXPOSURE (F) 36279,4,0,0.0,0
602(L)(4) PC - TRESPASS DISCHARGE F/ARM (M) 32142,4,0,0.0,0
266H(A) PC - PIMPING (F) 40030 | 266H(A) PC - PIMPING (F) 40030,4,0,0.0,0
1320(B) PC - FTA ON FELONY CHARGE (F) 50082,4,0,0.0,0
602.9(A) PC - POSS RESIDENT W/O CONSENT (M) 32114,4,0,0.0,0
242 PC - BATTERY (M) 13045 | 242 PC - BATTERY (M) 13045 | 242 PC - BATTERY (M) 13045,4,0,0.0,0
602(L)(2) PC - TRESP DMG/DEST POSTD SIGN (M) 32140 | 602(L)(2) PC - TRESP DMG/DEST POSTD SIGN (M) 32140,4,0,0.0,0
14 4327 CA - REG:PARK/REC:USE PERIODS (M) 62130,4,0,0.0,0
24605(B) VC - TOW TRK TAIL/STOP LMP VIO (I) 54479,4,0,0.0,0
113920(A) HS - OPR FOOD FACIL W/O PERMIT (M) 31188,4,0,0.0,0
24404(C) VC - SPOTLAMPS DIRECTION VIOL (I) 66419,4,0,0.0,0
602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102 | 602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102 | 602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102 | 602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102,4,0,0.0,0
273(D) PC - PARENT RCV MULT BEN ADPTN (M) 38092,4,0,0.0,0
24402(A) VC - AUXILIARY DRIVE LAMP VIOL (I) 54222,4,0,0.0,0
597(B) PC - CRUELTY OVERDRIVE ANIMAL (M) 34125,4,0,0.0,0
240/242 PC - ASSAULT & BATTERY (M) 13039 | 240/242 PC - ASSAULT & BATTERY (M) 13039 | 240/242 PC - ASSAULT & BATTERY (M) 13039,4,0,0.0,0
601(A)(2) PC - TRESP WORKPLACE THRTN SBI (M) 32119,4,0,0.0,0
422(A) PC - THRTN CRIME:INT:TERRORIZE (M) 16048 | 422(A) PC - THRTN CRIME:INT:TERRORIZE (M) 16048 | 422(A) PC - THRTN CRIME:INT:TERRORIZE (M) 16048,4,0,0.0,0
22520.5(A) VC - VEND ON/NEAR FREEWAY:W/PR (M) 66956,4,0,0.0,0
640(D)(4) PC - BLOCK MOVEMNT:SYS FAC/VEH (M) 66211,4,0,0.0,0
36 4.22(B)(4)(2) US - FR:PASSENGER IN BED TRUCK (M) 4053,4,0,0.0,0
261(A)(3) PC - RAPE BY USE OF DRUGS (F) 11110,4,0,0.0,0
22405(A) VC - UNSAFE SPEED ON BRIDGE (I) 54532,4,0,0.0,0
22112(A) VC - SCH BUS DRV:SGNL/STOP VIO (I) 54494,4,0,0.0,0
555.2 PC - LOITER POSTED PROPERTY (M) 32017 | 555.2 PC - LOITER POSTED PROPERTY (M) 32017,4,0,0.0,0
4753 FG - BEAR:TAGS/POSS VIOL (M) 62104,4,0,0.0,0
594(A)(3) PC - VANDL:DESTROY OTHRS PROP (M) 29077,4,0,0.0,0
587B PC - TRESPASS ON RR TRAIN (M) 32020,4,0,0.0,0
166(A)(1) PC - CNTMPT:CRT:DISRD/ETC BEHV (M) 50103 | 166(A)(1) PC - CNTMPT:CRT:DISRD/ETC BEHV (M) 50103 | 166(A)(1) PC - CNTMPT:CRT:DISRD/ETC BEHV (M) 50103,4,0,0.0,0
16025(A) VC - NO EVID:ID/INS/ETC:ACCDNT (I) 54102 | 16025(A) VC - NO EVID:ID/INS/ETC:ACCDNT (I) 54102,4,0,0.0,0
166(C)(1) PC - CONTEMPT:VIOL PROTECT ORD (M) 50112 | 166(C)(1) PC - CONTEMPT:VIOL PROTECT ORD (M) 50112 | 166(C)(1) PC - CONTEMPT:VIOL PROTECT ORD (M) 50112,4,0,0.0,0
22104 VC - TURN BY FIRE STATION VIOL (I) 54320,4,0,0.0,0
38320(B) VC - ILLEGAL DUMPING (M) 54561,4,0,0.0,0
242 PC - BATTERY ON PERSON (M) 13048 | 242 PC - BATTERY ON PERSON (M) 13048 | 242 PC - BATTERY ON PERSON (M) 13048,4,0,0.0,0
18 113(A)(4) US - ASSAULT BY STRIKING/ECT (F) 13202,4,0,0.0,0
20001(A) VC - HIT AND RUN:INJURY/DEATH (M) 54539,4,0,0.0,0
273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (F) 38080 | 273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (F) 38080 | 273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (F) 38080 | 273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (F) 38080,4,0,0.0,0
26701(A) VC - VEH SFTY GLZ MAT REQ VIOL (I) 66558,4,0,0.0,0
171B(A)(5) PC - POS/ETC TASER/STUNGUN:BLD (F) 52304,4,0,0.0,0
273D(A) PC - CORPORAL INJ/ETC ON CHILD (M) 38098,4,0,0.0,0
24602(A) VC - FOG TAILLAMPS VIOL (I) 54377,4,0,0.0,0
417(B) PC - EXH LOADED F/ARM:DAY CARE (F) 52199,4,0,0.0,0
27315(D)(1) VC - SEATBELT VIOLATION (I) 66985 | 27315(D)(1) VC - SEATBELT VIOLATION (I) 66985,4,0,0.0,0
14 4453(A) CA - CA REG:CAMPING FEE VIOL (M) 62145,4,0,0.0,0
32310(A) PC - MFG/SALE/ETC LRG CAP MAG (F) 52837,3,3,1.0,3
30305(A)(1) PC - PROHIB OWN/ETC AMMO/ETC (F) 52504,3,3,1.0,3
25662(A) BP - MINOR POSSESS ALCOHOL (M) 41062 | 25662(A) BP - MINOR POSSESS ALCOHOL (M) 41062 | 25662(A) BP - MINOR POSSESS ALCOHOL (M) 41062,3,3,1.0,3
381(B) PC - POSS SIMILAR TOLUENE SUB (M) 35233 | 381(B) PC - POSS SIMILAR TOLUENE SUB (M) 35233 | 381(B) PC - POSS SIMILAR TOLUENE SUB (M) 35233 | 381(B) PC - POSS SIMILAR TOLUENE SUB (M) 35233 | 381(B) PC - POSS SIMILAR TOLUENE SUB (M) 35233,3,3,1.0,3
647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005 | 647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005 | 647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005 | 647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,3,2,0.6667,2
11377(A) HS - POSSESS CNTL SUB (M) 35353 | 11377(A) HS - POSSESS CNTL SUB (M) 35353 | 11377(A) HS - POSSESS CNTL SUB (M) 35353,3,2,0.6667,2
25400(A)(1) PC - CCW IN VEHICLE (F) 52479 | 25400(A)(1) PC - CCW IN VEHICLE (F) 52479,3,2,0.6667,2
496D(A) PC - POSS STOLEN VEH/VES/ETC (F) 28035 | 496D(A) PC - POSS STOLEN VEH/VES/ETC (F) 28035 | 496D(A) PC - POSS STOLEN VEH/VES/ETC (F) 28035,3,2,0.6667,2
261.5(C) PC - SEX W/MINOR:3+ YRS YOUNGR (F) 36093,3,2,0.6667,2
21510(B) PC - CARRY SWITCHBLADE KNIFE (M) 52592,3,2,0.6667,2
11550(E) HS - USE CNTL SUB:POSS FIREARM (F) 35293,3,2,0.6667,2
11378 HS - POSS CNTL SUB FOR SALE (F) 35138 | 11378 HS - POSS CNTL SUB FOR SALE (F) 35138 | 11378 HS - POSS CNTL SUB FOR SALE (F) 35138,3,2,0.6667,2
11366 HS - KEP PLACE:SEL/ETC N/C/SUB (F) 35337 | 11366 HS - KEP PLACE:SEL/ETC N/C/SUB (F) 35337,3,2,0.6667,2
270.1(A) PC - PRNT FL SUPRVS K-8 TRUANT (M) 38106,3,2,0.6667,2
23153(A) VC - DUI ALCOHOL:CAUSE BOD INJ (F) 42107 | 23153(A) VC - DUI ALCOHOL:CAUSE BOD INJ (F) 42107,3,2,0.6667,2
25850(A) PC - CRRY LOAD F/ARM:PUB:S/CIR (F) 52624 | 25850(A) PC - CRRY LOAD F/ARM:PUB:S/CIR (F) 52624,3,2,0.6667,2
11379(A) HS - TRANSP/ETC CNTL SUB (F) 35175 | 11379(A) HS - TRANSP/ETC CNTL SUB (F) 35175,3,2,0.6667,2
530.5(C)(1) PC - POSS PRSNL ID WIT DEFRAUD (M) 44067,3,2,0.6667,2
4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657 | 4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657,3,2,0.6667,0
4463(A)(2) VC - UTER/ETC FAKE VEH REG/ETC (M) 25099,3,2,0.6667,0
22974.3(A)(3) BP - SEIZD UNSTMPD CIGRETTS/20 (M) 31254,3,2,0.6667,2
417(A)(2)(A) PC - EXHBT CONCLD F/ARM IN PUB (M) 52827 | 417(A)(2)(A) PC - EXHBT CONCLD F/ARM IN PUB (M) 52827 | 417(A)(2)(A) PC - EXHBT CONCLD F/ARM IN PUB (M) 52827,3,1,0.3333,1
22210 PC - MFG/SALE/ETC LEADED CANE (F) 52796,3,1,0.3333,1
8634 GC - EMERG CURFEW VIOLATION (M) 65001,3,1,0.3333,1
368(D)(1) PC - THFT ELDR/DEPN ADLT $950+ (F) 28048,3,1,0.3333,1
288(C)(1) PC - L&L W/CHILD 14 OR 15 YRS (F) 36334,3,1,0.3333,1
23153(A) VC - DUI ALCOHOL:CAUSE BOD INJ (M) 42112,3,1,0.3333,1
245(A)(4) PC - ADW/FORCE:POSSIBLE GBI (F) 13217 | 245(A)(4) PC - ADW/FORCE:POSSIBLE GBI (F) 13217 | 245(A)(4) PC - ADW/FORCE:POSSIBLE GBI (F) 13217 | 245(A)(4) PC - ADW/FORCE:POSSIBLE GBI (F) 13217,3,1,0.3333,1
245(A)(2) PC - ASLT W/FIREARM ON PERSON (F) 13095 | 245(A)(2) PC - ASLT W/FIREARM ON PERSON (F) 13095 | 245(A)(2) PC - ASLT W/FIREARM ON PERSON (F) 13095,3,1,0.3333,1
487(C) PC - GRAND THEFT FROM PERSON (F) 23133 | 487(C) PC - GRAND THEFT FROM PERSON (F) 23133,3,1,0.3333,1
23109(B) VC - AIDE/ABET SPEED CONTEST (M) 54217,3,1,0.3333,1
26350(A)(2)(A) PC - CARRY UNLOAD H/GUN PUBLIC (M) 52508,3,1,0.3333,1
24012 VC - FAIL COMPLY:MOUNTING REQ (I) 54543,3,1,0.3333,1
415(2) PC - LOUD/UNREASONABLE NOISE (I) 53130 | 415(2) PC - LOUD/UNREASONABLE NOISE (I) 53130 | 415(2) PC - LOUD/UNREASONABLE NOISE (I) 53130,3,1,0.3333,1
171B(A)(3) PC - POSS/ETC KNIFE: PUB BLDG (M) 52683,3,1,0.3333,1
261(A)(4) PC - RAPE:VICT UNCONSC OF ACT (F) 11057,3,1,0.3333,0
417.4 PC - BRANDISHING F/ARM REPLICA (M) 52240 | 417.4 PC - BRANDISHING F/ARM REPLICA (M) 52240 | 417.4 PC - BRANDISHING F/ARM REPLICA (M) 52240,3,1,0.3333,1
21711 VC - SWERVING OF TOWED VEHICLE (I) 54524,3,1,0.3333,0
