stop_reason,stops,success,yield,contraband_discoveries
22112(C) VC - FAIL BUS STOP SIGN USE (I) 66288,212,3,0.0142,3
487(A) PC - GRDTHFT:MONEY/LABOR/PROP (F) 23132,211,55,0.2607,54
602(N) PC - TRESPAS:DRIV ON PRIV PROP (M) 32101,211,11,0.0521,10
23152(A) VC - DUI ALCOHOL (M) 42104 | 23152(A) VC - DUI ALCOHOL (M) 42104,206,61,0.2961,23
26708.5(A) VC - WINDOW INSTAL/ETC MAT VIO (I) 66979,205,11,0.0537,11
22100(A) VC - IMPROPER RIGHT HAND TURN (I) 54220,194,3,0.0155,2
488/666 PC - PET THFT W/PR PT/GT BURG/ (F) 23103,192,25,0.1302,24
422(A) PC - THRTN CRIME:INT:TERRORIZE (F) 16049,187,29,0.1551,28
459 PC - BURGLARY (F) 22004 | 459 PC - BURGLARY (F) 22004,181,44,0.2431,43
166(A)(4) PC - CONTEMPT:DISOBEY CRT ORDR (M) 50106,179,12,0.067,12
26710 VC - DEFECTIVE WINDSHIELD/ETC (I) 54138,178,14,0.0787,14
243(A) PC - BATTERY ON PERSON (M) 13082 | 243(A) PC - BATTERY ON PERSON (M) 13082,177,5,0.0282,5
273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (F) 38080 | 273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (F) 38080,170,11,0.0647,10
602(P) PC - TRESPASS:CLOSED LANDS (M) 32105,167,10,0.0599,10
21453(B) VC - TURN ONTO ONEWAY AT RED (I) 54372,165,1,0.0061,0
978.5 PC - BENCH WARRANT:FTA:MISD (M) 66100,162,20,0.1235,19
245(A)(1) PC - ADW NOT FIREARM (M) 13220,160,14,0.0875,11
11362.4(A) HS - SMOKE/ING MARIJ PUBLIC PL (I) 35438,158,35,0.2215,35
485 PC - APPROPR LOST PROP (M) 23106,157,19,0.121,19
25612.5(C)(1) BP - FAIL TO POST:NO LOITERING (M) 41069,156,15,0.0962,15
417(A)(1) PC - EXHIBIT DEADWPN:NOT F/ARM (M) 52136 | 417(A)(1) PC - EXHIBIT DEADWPN:NOT F/ARM (M) 52136,154,45,0.2922,43
245(A)(2) PC - ASLT W/FIREARM ON PERSON (F) 13095,153,22,0.1438,21
21460 VC - CROSS DBL SOLID YLW LINE (I) 66941,149,5,0.0336,5
24951(B) VC - TURN SIGNAL VIOLATION (I) 54431,149,1,0.0067,1
415(2) PC - UNREASONABLE NOISE (M) 53073,145,4,0.0276,3
22102 VC - ILEGAL UTURN:BUS DIST/ETC (I) 54186,145,1,0.0069,1
26450 VC - REQ BRAKE SYSTEMS VIOL (I) 66530,144,1,0.0069,0
22100.5 VC - WRONG LANE UTURN VIOL (I) 54409,142,2,0.0141,0
25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063 | 25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063,141,117,0.8298,117
451(D) PC - ARSON:PROPERTY (F) 20036,141,23,0.1631,22
65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000 | 65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000,137,9,0.0657,9
NA - XX AA - CODE NOT FOUND IN TABLE (X) 99999 | NA - XX AA - CODE NOT FOUND IN TABLE (X) 99999,137,7,0.0511,7
21651(A)(2) VC - DRV HWY U-TURN VIOL (I) 54995,137,2,0.0146,2
417(A)(2)(B) PC - EXHBT F/ARM THRTNG MANNER (M) 52687,135,28,0.2074,25
11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143 | 11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143,135,22,0.163,20
22526(B) VC - BLOCKING INTERSECTION (I) 66335,133,12,0.0902,12
21460 VC - CROSS DBL SOLID WHI LINE (I) 66942,129,3,0.0233,3
417(A)(2)(A) PC - EXHBT CONCLD F/ARM IN PUB (M) 52827,127,22,0.1732,21
21650 VC - FAIL DRIVE RT HALF ROAD (I) 54104,125,3,0.024,2
22500(A) VC - PARKING/ETC VIO:SPEC CIRC (I) 66953,124,11,0.0887,10
11377(A) HS - POSS CONTROLLED SUBSTANCE (F) 35172,121,46,0.3802,46
211 PC - ROBBERY (F) 12004 | 211 PC - ROBBERY (F) 12004,121,33,0.2727,32
22435.2(A) BP - REM SHOPPING/LAUNDRY CART (M) 23127,121,14,0.1157,14
65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002 | 65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002,119,10,0.084,10
602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102 | 602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102,119,7,0.0588,7
5201(D) VC - OBSTRUCT OF LIC PLATE (I) 54723,118,3,0.0254,3
22450(B) VC - FL STOP RR GRADE CROSSING (I) 66297,117,0,0.0,0
273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025 | 273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025,114,9,0.0789,7
